10623,PDGFRA
10624,SFRP1
10625,LIFR
10626,EDNRB
10627,PRDX1
10628,CTSB
10629,KIF2C
10630,CDC45
10631,AOX1
10632,PIM1
10633,PLSCR1
10634,SERPINE2
10635,BUB1B
10636,FADS1
10637,COL4A1
10638,SLC16A3
10639,DAB2
10640,DNMT3B
10641,HSD11B1
10642,NFKB2
10643,FBLN1
10644,KLF9
10645,CD74
10646,MT2
10647,ACO1
10648,ALAD
10649,ERBB3
10650,NR1D1
10651,DSC2
10652,RFC3
10653,APEX1
10654,BDH1
10655,CHUK
10656,BNIP3L
10657,B2M
10658,SKP2
10659,C1S
10660,PRDX2
10661,RAD51AP1
10662,ALDH2
10663,MLH1
10664,NFIB
10665,DDAH1
10666,GCK
10667,GPAM
10668,IL1R1
10669,PLD1
10670,DIABLO
10671,SLC7A5
10672,CASP6
10673,DST
10674,UCP2
10675,IL12A
10676,KCTD12
10677,IRF7
10678,CYBA
10679,ERCC1
10680,NEK2
10681,SLC1A3
10682,ADAMTS1
10683,HSPA1B
10684,ACAA2
10685,EZH2
10686,TTK
10687,EFNA1
10688,LSS
10689,HELLS
10690,ALDOA
10691,MTUS1
10692,VDR
10693,FDFT1
10694,FEN1
10695,ECT2
10696,PTP4A1
10697,GSN
10698,GSTO1
10699,VNN1
10700,ITGAV
10701,ANXA5
10702,SLC40A1
10703,MSH6
10704,BMP2
10705,MAOA
10706,CYP17A1
10707,CYP8B1
10708,PHLDA2
10709,EGR2
10710,CDCA8
10711,NES
10712,CTSS
10713,ACAT2
10714,MYD88
10715,MX1
10716,MMP10
10717,FMO5
10718,DNAJA1
10719,SULT1E1
10720,KPNA2
10721,PTGES
10722,TPI1
10723,ALDH3A1
10724,F2
10725,SELENOP
10726,FADD
10727,ACACB
10728,IL17A
10729,HSP90AB1
10730,PLK3
10731,LEF1
10732,PON1
10733,ALCAM
10734,HSD3B1
10735,TUBB2B
10736,NDRG2
10737,IL7R
10738,THBD
10739,RARB
10740,RXRA
10741,CYP2C11
10742,HSF1
10743,TF
10744,POLA1
10745,ACADL
10746,RACGAP1
10747,HPCAL1
10748,TGM2
10749,ALAS2
10750,GSTM5
10751,SLC22A5
10752,NME1
10753,TFF1
10754,CLDN4
10755,TUBA1A
10756,POU5F1
10757,THRSP
10758,ITGAM
10759,DNAJB1
10760,FLT1
10761,RBP1
10762,HSD17B10
10763,IHH
10764,JAK2
10765,CST3
10766,SLC11A2
10767,AKAP12
10768,PRLR
10769,SCARB1
10770,TPX2
10771,TXN
10772,MCM3
10773,ACAT1
10774,VEGFC
10775,A2M
10776,ADIPOQ
10777,ABCC6
10778,RGCC
10779,BAG3
10780,TGFBI
10781,DAPK1
10782,HAS2
10783,IRF1
10784,PRL
10785,BTG1
10786,IFITM1
10787,FGFR2
10788,CCL7
10789,TERT
10790,SLC19A2
10791,RELB
10792,DGAT2
10793,LRP1
10794,NREP
10795,SLC2A2
10796,MX2
10797,IGFBP7
10798,HNF4A
10799,MMP7
10800,MAT1A
10801,KLHL24
10802,IFIT2
10803,FDPS
10804,ABCD3
10805,CAR3
10806,NT5E
10807,SESN2
10808,ATF5
10809,CYP11A1
10810,ATP5F1A
10811,PECAM1
10812,NFIA
10813,CD9
10814,RCAN1
10815,PLA2G4A
10816,GCH1
10817,HSPB8
10818,CDCA2
10819,SMC4
10820,ATF6
10821,SERPINA7
10822,CASP12
10823,HAO2
